"source","target","value"
"A T Still University of Health Sciences","Health Resources and Services Administration",1886781
"A T Still University of Health Sciences","Department of the Navy",1467225.94
"A T Still University of Health Sciences","National Institutes of Health",382343
"Aaniiih Nakoda College","National Science Foundation",2600000
"Aaniiih Nakoda College","Department of Education",1801578.08
"Aaniiih Nakoda College","Bureau of Indian Affairs and Bureau of Indian Education",1395470
"Aaniiih Nakoda College","Administration for Children and Families",625000
"Aaniiih Nakoda College","National Institute of Food and Agriculture",414800
"Abilene Christian University","Department of Education",827918.2
"Abilene Christian University","Department of Energy",50000
"Abraham Baldwin Agricultural College","Department of Education",1622924.25
"Abraham Baldwin Agricultural College","Rural Utilities Service",500000
"Adams State University","Department of Education",3245405
"Adams State University","Forest Service",26621
"Adams State University","Department of the Army",6055
"Adelphi University","Substance Abuse and Mental Health Services Administration",890000
"Adelphi University","Health Resources and Services Administration",377903
"Adelphi University","Department of Education",250000
"Adelphi University","National Science Foundation",81248
"Adelphi University","Bureau of Land Management",1000
"Adirondack Community College","Department of Education",644067
"Adler University","Health Resources and Services Administration",283692
"Adler University","Department of the Navy",5655
"Adrian College","Department of Education",313406
"Adventist University of Health Sciences","Health Resources and Services Administration",61732
"Aims Community College","Department of Education",496492
"Alabama A & M University","Department of Education",7950742
"Alabama A & M University","National Institute of Food and Agriculture",3857313.12
"Alabama A & M University","National Science Foundation",2701908
"Alabama A & M University","Department of the Army",526065
"Alabama A & M University","Health Resources and Services Administration",480000
"Alabama College of Osteopathic Medicine","Department of the Navy",516012
"Alabama College of Osteopathic Medicine","National Institutes of Health",277277
"Alabama Southern Community College","Department of Education",2247477
"Alabama State University","Department of Education",8094858.94
"Alabama State University","National Science Foundation",898812
"Alabama State University","National Institutes of Health",759878
"Alamo Community College District Central Office","Administration for Children and Families",3000000
"Alamo Community College District Central Office","Department of Education",2982162.81
"Alamo Community College District Central Office","National Science Foundation",568831
"Alaska Pacific University","National Science Foundation",209978
"Alaska Pacific University","Forest Service",23342
"Albany College of Pharmacy and Health Sciences","National Institutes of Health",1971796
"Albany Medical College","National Institutes of Health",9103397
"Albany Medical College","Health Resources and Services Administration",1836829
"Albany Medical College","Department of the Army",324000
"Albany Medical College","Substance Abuse and Mental Health Services Administration",288308
"Albany Medical College","Department of Veterans Affairs",184001.19
"Albany State University","Department of Education",8162283
"Albany State University","National Aeronautics and Space Administration",324996
"Albany State University","National Science Foundation",299921
"Albany State University","National Endowment for the Humanities",99980
"Albany State University","Health Resources and Services Administration",26244
"Albany Technical College","Department of Education",1624390
"Albany Technical College","National Science Foundation",219204
"Albertus Magnus College","Department of Education",349280
"Albertus Magnus College","Offices, Boards and Divisions",300000
"Albion College","National Science Foundation",75113
"Albion College","National Aeronautics and Space Administration",14678
"Albion College","Corporation for National and Community Service",11000
"Albright College","Department of Education",449638
"Alcorn State University","Department of Education",6047009.1
"Alcorn State University","National Institute of Food and Agriculture",2444949.09
"Alcorn State University","Foreign Agricultural Service",46881.42
"Alcorn State University","U.S. Army Corps of Engineers - Civil Program Financing Only",20149.05
"Alcorn State University","National Endowment for the Arts",10000
"Alfred University","Department of the Navy",999650
"Alfred University","National Aeronautics and Space Administration",2000
