source,target,value,type
1890 Institution Capacity Building Grants,Tennessee State University,1892510.58,research
1890 Institution Capacity Building Grants,Virginia State University,1834763.45,research
1890 Institution Capacity Building Grants,West Virginia State University,1805746.25,research
1890 Institution Capacity Building Grants,Alabama A & M University,1602707.05,research
1890 Institution Capacity Building Grants,Prairie View A & M University,1191483.56,research
1994 Institutions Research Program,Keweenaw Bay Ojibwa Community College,630000,research
1994 Institutions Research Program,Northwest Indian College,280000,research
1994 Institutions Research Program,Dine College,220000,research
1994 Institutions Research Program,Lac Courte Oreilles Ojibwa Community College,220000,research
1994 Institutions Research Program,Fond du Lac Tribal and Community College,219973,research
21st Century Cures Act - Beau Biden Cancer Moonshot,University of Utah,13413697,grant
21st Century Cures Act - Beau Biden Cancer Moonshot,Stanford University,11613282,grant
21st Century Cures Act - Beau Biden Cancer Moonshot,Vanderbilt University,11243060,grant
21st Century Cures Act - Beau Biden Cancer Moonshot,Duke University,10799091,grant
21st Century Cures Act - Beau Biden Cancer Moonshot,Mayo Clinic School of Medicine,8869286,grant
A Comprehensive Approach to Good Health and Wellness in Indian County financed solely by Prevention and Public Health ,Fort Peck Community College,317039,grant
A Comprehensive Approach to Good Health and Wellness in Indian County financed solely by Prevention and Public Health ,Salish Kootenai College,150000,grant
ACA-Transforming Clinical Practice Initiative: Practice Transformation Networks (PTNs),Indiana University-Bloomington,12040307,grant
ACA-Transforming Clinical Practice Initiative: Practice Transformation Networks (PTNs),University of Washington,6290981,grant
ACA-Transforming Clinical Practice Initiative: Practice Transformation Networks (PTNs),University of Massachusetts Medical School Worcester,5722347,grant
ACA-Transforming Clinical Practice Initiative: Practice Transformation Networks (PTNs),Vanderbilt University,5439179,grant
ACA-Transforming Clinical Practice Initiative: Practice Transformation Networks (PTNs),Mayo Clinic School of Medicine,2340938,grant
Academic Exchange Programs - English Language Programs,Georgetown University,15752515,grant
Academic Exchange Programs - Scholars,SIT Graduate Institute,4737000,research
Academic Exchange Programs - Scholars,The University of Montana,1049996,research
Academic Exchange Programs - Scholars,University of Massachusetts-Amherst,289956,research
Academic Exchange Programs - Scholars,Seattle University,289618,research
Academic Exchange Programs - Scholars,Bard College,280000,research
Academic Exchange Programs - Teachers,Florida State University,870000,grant
Academic Exchange Programs - Undergraduate Programs,SIT Graduate Institute,7393684,grant
Academic Exchange Programs - Undergraduate Programs,Northern Virginia Community College,5375000,grant
Academic Exchange Programs - Undergraduate Programs,The University of Montana,1539997,grant
Academic Exchange Programs - Undergraduate Programs,University of Connecticut,1539885,grant
Academic Exchange Programs - Undergraduate Programs,University of Kansas,1299996,grant
Accountable Health Communities ,Oregon Health & Science University,1487636,grant
Accountable Health Communities ,University of Kentucky,774100,grant
Accountable Health Communities ,The University of Texas Health Science Center at Houston,521302,grant
ACL Assistive Technology,The University of Texas at Austin,982921,grant
ACL Assistive Technology,University of Massachusetts-Boston,871258,grant
ACL Assistive Technology,Temple University,742294,grant
ACL Assistive Technology,Northern Arizona University,648282,grant
ACL Assistive Technology,Georgia Institute of Technology-Main Campus,642828,grant
ACL Assistive Technology State Grants for Protection and Advocacy,The University of Alabama,58766,grant
ACL Assistive Technology State Grants for Protection and Advocacy,University of Iowa,49998,grant
ACL Centers for Independent Living ,University of Massachusetts-Boston,1490080,grant
"ACL Centers for Independent Living, Recovery Act",Rowan University,400000,grant
"ACL Centers for Independent Living, Recovery Act",University of Illinois at Chicago,400000,grant
"ACL Centers for Independent Living, Recovery Act",University of New England,400000,grant
"ACL Centers for Independent Living, Recovery Act",University of Pennsylvania,399992,grant
"ACL Centers for Independent Living, Recovery Act",A T Still University of Health Sciences,399987,grant
ACL Independent Living State Grants ,University of Massachusetts-Boston,370907,grant
ACL Independent Living State Grants ,University of Nebraska Medical Center,332044,grant
"ACL National Institute on Disability, Independent Living, and Rehabilitation Research",University of Pittsburgh-Pittsburgh Campus,4210179,grant
"ACL National Institute on Disability, Independent Living, and Rehabilitation Research",University of Alabama at Birmingham,3380329,grant
"ACL National Institute on Disability, Independent Living, and Rehabilitation Research",University of Illinois at Chicago,3342230,grant
"ACL National Institute on Disability, Independent Living, and Rehabilitation Research",University of Washington,3336221,grant
"ACL National Institute on Disability, Independent Living, and Rehabilitation Research",Georgia Institute of Technology-Main Campus,3306648,grant
Acquired Immunodeficiency Syndrome (AIDS) Activity,University of Southern California,150000,grant
"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",University of Minnesota-Twin Cities,2231639,grant
"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Yale University,444471,grant
"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",Northern Arizona University,168000,grant
Adaptive Science,California State University-Sacramento,199000,grant
Adaptive Science,Winston-Salem State University,85000,grant
Adaptive Science,Murray State University,15200,grant
Adaptive Science,The University of Montana,5000,grant
ADDITIVE METAL MATERIALS,Worcester Polytechnic Institute,25000,contract
Administrative Cost Grants for Indian Schools,United Tribes Technical College,101380,grant
Adoption Opportunities,University of Kansas,1443618,grant
Adoption Opportunities,The University of Texas at Austin,1110553,grant
ADP BACKUP AND SECURITY SERVICES,Cornell University,22955.93,contract
ADP COMPONENTS,University of Wisconsin-Madison,70438.54,contract
ADP COMPONENTS,University of Northern Iowa,56500,contract
ADP COMPONENTS,University of Maryland-College Park,4500,contract
ADP DATA ENTRY SERVICES,Portland State University,24000,contract
ADP FACILITY MANAGEMENT,West Virginia University,2828861,contract
ADP FACILITY MANAGEMENT,Cornell University,1012058,contract
ADP FACILITY MANAGEMENT,Truckee Meadows Community College,244932,contract
ADP FACILITY MANAGEMENT,Virginia Polytechnic Institute and State University,13374,contract
"ADP INF, BROADCAST & DIST SVCS",University of Rhode Island,19933,contract
"ADP INF, BROADCAST & DIST SVCS",San Diego State University,9985,contract
ADP INPUT/OUTPUT AND STORAGE DEVICES,Virginia Polytechnic Institute and State University,18333,contract
ADP SOFTWARE,Utah State University,3566468,contract
ADP SOFTWARE,Georgia Institute of Technology-Main Campus,3162496.75,contract
ADP SOFTWARE,Johns Hopkins University,750000,contract
ADP SOFTWARE,University of Colorado Boulder,306499,contract
ADP SOFTWARE,University of Chicago,223992,contract
ADP SUPPLIES,University of Alaska Fairbanks,30634,contract
ADP SUPPLIES,University of Washington,3450,contract
ADP SUPPORT EQUIPMENT,University of Colorado Boulder,6560,contract
Adult Education - Basic Grants to States,Baton Rouge Community College,9849005.88,grant
Adult Education - Basic Grants to States,Madison Area Technical College,6737029,grant
Adult Education - Basic Grants to States,Mississippi Community College Board,6263315,grant
Adult Education - Basic Grants to States,Northern Marianas College,314473,grant
Adult Education - Basic Grants to States,American Samoa Community College,192416,grant
Advanced Education Nursing Traineeships,Albany State University,26244,grant
Advanced Nursing Education Workforce Grant Program,The University of Texas at Tyler,1567562,grant
Advanced Nursing Education Workforce Grant Program,Florida Atlantic University,1564997,grant
Advanced Nursing Education Workforce Grant Program,University of Alabama at Birmingham,1487896,grant
