"source","target","value"
"Access Board","EDUCATION & TRAINING SERVICES",44863.92
"Administration for Children and Families","Childcare and Welfare",252665258
"Administration for Children and Families","Nursing and Health Professionals",30783808
"Administration for Children and Families","Social Wellness and Development",23447366
"Administration for Children and Families","Tribal Programs",2666486
"Administration for Children and Families","Healthcare Services",2648845
"Administration for Community Living","Individuals with Disabilities",1493582
"Administration on Aging","Individuals with Disabilities",124503489
"Administration on Aging","Social Wellness and Development",5547447
"Administration on Aging","Medical R&D",2668884
"Administration on Aging","Public Health",987969
"Administration on Aging","Healthcare Services",866453
"Agency for Healthcare Research and Quality","Medical R&D",147096939
"Agency for Healthcare Research and Quality","MEDICAL R&D",9371625.36
"Agency for Healthcare Research and Quality","Research Support Programs",5611360
"Agency for Healthcare Research and Quality","MANAGEMENT SUPPORT SERVICES",2165398
"Agency for International Development","Humanitarian Assistance",379844149
"Agency for International Development","PROFESSIONAL SERVICES",27151929.32
"Agency for International Development","MANAGEMENT SUPPORT SERVICES",6533437
"Agency for International Development","Academic Exchange Programs",4400100
"Agency for International Development","GEN. SCIENCE & TECHNOLOGY R&D",4379697.25
"Agricultural Marketing Service","Food and Nutrition",98479
"Agricultural Marketing Service","Marketing Programs",87261
"Agricultural Marketing Service","EDUCATION & TRAINING SERVICES",23900
"Agricultural Research Service","Agriculture and Farming",137208704.86
"Agricultural Research Service","Agriculture and Farming R&D",3217045.41
"Agricultural Research Service","SPECIAL STUDIES - NOT R&D",668562.31
"Agricultural Research Service","LIVE ANIMALS",238141.44
"Agricultural Research Service","MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS",167939
"Animal and Plant Health Inspection Service","Public Health",10596639
"Animal and Plant Health Inspection Service","PROFESSIONAL SERVICES",4570188.39
"Animal and Plant Health Inspection Service","Wildlife",3867284.04
"Animal and Plant Health Inspection Service","BOOKS, MAPS, & OTHER PUBLICATIONS",59000
"Animal and Plant Health Inspection Service","EDUCATION & TRAINING SERVICES",15898
"Assistant Secretary for Community Planning and Development","Homelessness",447368.58
"Assistant Secretary for Fair Housing and Equal Opportunity","Housing and Development",599989
"Assistant Secretary for Fair Housing and Equal Opportunity","Education",110828.64
"Assistant Secretary for Housing--Federal Housing Commissioner","Housing and Development",1002281.77
"Assistant Secretary for Policy Development and Research","Housing R&D",2842184.47
"Assistant Secretary for Public and Indian Housing","Regional Development",1300000
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","PROFESSIONAL SERVICES",867246.12
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","EDUCATION & TRAINING SERVICES",370540.06
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","OTHER MEDICAL SERVICES",157566.96
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","LIVE ANIMALS",12551.9
"Bureau of Engraving and Printing","EDUCATION & TRAINING SERVICES",28995
"Bureau of Indian Affairs and Bureau of Indian Education","Education",80443171
