"source","target","value"
"A T Still University of Health Sciences","Nursing and Health Professionals",1486794
"A T Still University of Health Sciences","EDUCATION & TRAINING SERVICES",1467225.94
"A T Still University of Health Sciences","Individuals with Disabilities",399987
"A T Still University of Health Sciences","Medical R&D",382343
"Aaniiih Nakoda College","Education",5438756.08
"Aaniiih Nakoda College","Tribal Programs",1084439
"Aaniiih Nakoda College","Agriculture and Farming R&D",313653
"Aaniiih Nakoda College","Regional Development",129000
"Abilene Christian University","Education",580437.2
"Abilene Christian University","Research Support Programs",247481
"Abilene Christian University","Energy Programs",50000
"Abraham Baldwin Agricultural College","Education",1224428
"Abraham Baldwin Agricultural College","Refugee and Entrant Assistance",898496.25
"Adams State University","Education",2821296
"Adams State University","Refugee and Entrant Assistance",424109
"Adams State University","Environment",26621
"Adams State University","Defense R&D",6055
"Adelphi University","Addiction and Recovery",890000
"Adelphi University","Nursing and Health Professionals",377903
"Adelphi University","Individuals with Disabilities",250000
"Adelphi University","Science, Engineering, and Mathematics",81248
"Adelphi University","Tribal Programs",1000
"Adirondack Community College","Education",644067
"Adler University","Nursing and Health Professionals",283692
"Adler University","EDUCATION & TRAINING SERVICES",5655
"Adrian College","Education",313406
"Adventist University of Health Sciences","Nursing and Health Professionals",61732
"Aims Community College","Education",496492
"Alabama A & M University","Education",11915819.13
"Alabama A & M University","Agriculture and Farming R&D",2254606.07
"Alabama A & M University","Science, Engineering, and Mathematics",1485833.79
"Alabama A & M University","Nursing and Health Professionals",480000
"Alabama A & M University","Environmental R&D",200000
"Alabama A & M University","Research Support Programs",200000
"Alabama College of Osteopathic Medicine","EDUCATION & TRAINING SERVICES",516012
"Alabama College of Osteopathic Medicine","Medical R&D",277277
"Alabama Southern Community College","Education",2247477
"Alabama State University","Education",8493687.94
"Alabama State University","Science, Engineering, and Mathematics",487983
"Alabama State University","Social Wellness and Development",414074
"Alabama State University","Medical R&D",345804
"Alabama State University","Early Childhood Programs",137126
"Alamo Community College District Central Office","Nursing and Health Professionals",3000000
"Alamo Community College District Central Office","Education",2934812.81
"Alamo Community College District Central Office","Childcare and Welfare",616181
"Alaska Pacific University","Science, Engineering, and Mathematics",209978
"Alaska Pacific University","Environment",23342
"Albany College of Pharmacy and Health Sciences","Addiction and Recovery",1037084
"Albany College of Pharmacy and Health Sciences","Medical R&D",934712
"Albany Medical College","Medical R&D",7003879
"Albany Medical College","Medical R&D (Infectious Diseases)",2423518
"Albany Medical College","HIV Programs",1005043
"Albany Medical College","Healthcare Services",656465
"Albany Medical College","Addiction and Recovery",288308
"Albany State University","Education",8887180
"Albany State University","Nursing and Health Professionals",26244
"Albany Technical College","Education",1843594
"Albertus Magnus College","Education",349280
"Albertus Magnus College","Social Wellness and Development",300000
"Albion College","Science, Engineering, and Mathematics",89791
"Albion College","Social Wellness and Development",11000
"Albright College","Education",449638
"Alcorn State University","Education",6873219.03
"Alcorn State University","Agriculture and Farming R&D",885760.2
"Alcorn State University","Food and Nutrition",600000
"Alcorn State University","Science, Engineering, and Mathematics",249777
"Alcorn State University","Trade Assistance",46881.42
"Alfred University","Science, Engineering, and Mathematics",994650
"Alfred University","OTHER QUALITY, TEST, & INSPECTION SERVICES",2500
"Alfred University","GEN. SCIENCE & TECHNOLOGY R&D",2000
"Alfred University","ENVIRONMENTAL SYSTEMS PROTECTION",1500
"Allan Hancock College","Education",2243399.15
"Allan Hancock College","Childcare and Welfare",201773
"Allan Hancock College","Medical R&D",194050
"Allan Hancock College","EDUCATION & TRAINING SERVICES",45823.12
"Allegany College of Maryland","Education",242136
"Allegheny College","Social Wellness and Development",1448667
"Allegheny College","Education",34987
"Allegheny College","Information Services and Records Preservation",6724.08
"Allen University","Education",2378998
"Allen University","Environment",350000
"Alpena Community College","Education",485863.82
"Alvernia University","Nursing and Health Professionals",550000
"Alvernia University","Social Wellness and Development",298360
"Alverno College","Education",974698
"Alverno College","Childcare and Welfare",33906
"Alvin Community College","Education",1169008
"Amarillo College","Education",1514431.24
"American Baptist College","Education",2352562
"American Film Institute Conservatory","Humanities and the Arts",20000
"American Indian OIC Inc","Tribal Programs",250182
"American International College","Education",254258
"American River College","Education",3034723
"American Samoa Community College","Regional Development",1384234
"American Samoa Community College","Education",698348
"American Samoa Community College","Agriculture and Farming R&D",270686
"American Samoa Community College","Business",249999
"American Samoa Community College","Environment",230000
"American University","EDUCATION & TRAINING SERVICES",3734685.25
"American University","Medical R&D",2991085
"American University","Science, Engineering, and Mathematics",2789773.63
"American University","Criminal Justice and Public Safety",2786678.96
"American University","Social Wellness and Development",1303142
"American University of Puerto Rico","Drug Policy R&D",1343569.49
"American University of Puerto Rico","Education",522672
"Amherst College","Science, Engineering, and Mathematics",2144984
"Amherst College","Humanities and the Arts",326000
"Amherst College","Education",99938
"Andrew College","Education",528024
"Andrews University","Science, Engineering, and Mathematics",261218
"Angelina College","Business",114935
"Angelo State University","Education",1134873.3
"Angelo State University","Social Wellness and Development",50000
"Angelo State University","Historic Sites",39174
"Anne Arundel Community College","Social Wellness and Development",299987
"Anne Arundel Community College","Education",250000
"Anne Arundel Community College","Childcare and Welfare",98719
"Anoka-Ramsey Community College","Education",1785782
