"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"US Agencies - Non-CFO Act","Government Accountability Office",114,"Salaries and Expenses, Government Accountability Office",581021257.15,36258189.5
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",2650,"Expenses, Congressional-Executive Commission on the People's Republic of China",2090621.45,1726305.65
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",119,"Salaries and Expenses, Commission on Security and Cooperation in Europe",2551597.49,3014992.85
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",122,"International Conferences and Contingencies, House and Senate   Expenses",50000,1763227.47
"US Agencies - Non-CFO Act","Courts of Appeals, District Courts, and Other Judicial Services",146,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",484558541.95,12623502.38
"Department of Agriculture","Office of the Secretary",275,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",844913.51,406845.87
"Department of Agriculture","Office of the Secretary",268,"Production, Processing and Marketing, Office of the Secretary, Agriculture",120090103.64,11525575.07
"Department of Agriculture","Office of the Secretary",271,"Office of the Assistant Secretary for Administration, Agriculture",9938.44,4824.15
"Department of Agriculture","Office of the Secretary",392,"Office of the Under Secretary for Food Safety, Agriculture",587066,463644.51
"Department of Agriculture","Office of the Secretary",272,"Office of the Assistant Secretary for Governmental and Public Affairs, Agriculture",0.18,138667.09
"Department of Agriculture","Office of the Secretary",274,"Office of the Under Secretary for Research, Education and Economics, Agriculture",3960550.76,336402.22
"Department of Agriculture","Office of the Secretary",276,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",835770.19,276981.89
"Department of Agriculture","Office of the Secretary",277,"Office of the Under Secretary for Rural Development, Agriculture",928627.99,392392.28
"Department of Agriculture","Office of the Secretary",278,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",901540.59,389481.5
"Department of Agriculture","Office of the Secretary",279,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",758271.05,401782.24
"Department of Agriculture","Office of the Secretary",270,"Departmental Administration, Agriculture",20516.75,51743.27
"Department of Agriculture","Office of the Secretary",298,"Outreach for Socially Disadvantaged Farmers, National Institute of Food and Agriculture, Agriculture",3554993.64,1019620.6
"Department of Agriculture","Office of the Secretary",280,"Office of the Assistant Secretary for Civil Rights, Agriculture",774898.48,286062.94
