"source","target","value"
"Social Security","Insurance Claims and Indemnities",934162795621.68
"Medicare","Insurance Claims and Indemnities",693332573138.74
"Income Security","Grants, Subsidies, and Contributions",546415915957.28
"Health","Grants, Subsidies, and Contributions",482101741312.01
"Net Interest","Interest and Dividends",468049569030.64
"General Government","Refunds",309883218884.03
"Medicare","Grants, Subsidies, and Contributions",255874779299.77
"National Defense","Personnel Compensation and Benefits",251290469618.85
"National Defense","Advisory, R&D, Medical, and Other Contracts",198316759205.34
"Income Security","Insurance Claims and Indemnities",180923137470.68
"Education, Training, Employment, and Social Services","Grants, Subsidies, and Contributions",166298924721.85
"Medicare","Other",94830364445.4
"National Defense","Acquisition of Assets",93099279955.27
"Veterans Benefits and Services","Insurance Claims and Indemnities",87731292513
"National Defense","Printing and Supplies",79887190510.6
"Health","Advisory, R&D, Medical, and Other Contracts",77182989361.57
"Transportation","Grants, Subsidies, and Contributions",63211387904.89
"Regional Development, Commerce, and Housing","Grants, Subsidies, and Contributions",62703723149.25
"Agriculture","Insurance Claims and Indemnities",61236766599.6
"Health","Insurance Claims and Indemnities",60269635127.85
"General Government","Personnel Compensation and Benefits",49791587419.74
"Social Security","Other",48329991646.62
"International Affairs","Advisory, R&D, Medical, and Other Contracts",45531923088.64
"Health","Personnel Compensation and Benefits",41251783266.05
"National Defense","Other",40688663170.94
"Veterans Benefits and Services","Personnel Compensation and Benefits",40293720411.11
"International Affairs","Grants, Subsidies, and Contributions",38962560845.19
"Administration of Justice","Personnel Compensation and Benefits",35112734104.02
"Energy, Science, Space, and Technology","Advisory, R&D, Medical, and Other Contracts",30107729012.62
"Natural Resources and Environment","Personnel Compensation and Benefits",29246065107.43
"Natural Resources and Environment","Advisory, R&D, Medical, and Other Contracts",28496059938.61
"Agriculture","Advisory, R&D, Medical, and Other Contracts",26540004351.05
"Veterans Benefits and Services","Advisory, R&D, Medical, and Other Contracts",25319259491.49
"Transportation","Personnel Compensation and Benefits",23461094560.25
"General Government","Advisory, R&D, Medical, and Other Contracts",21432904199.08
"Administration of Justice","Advisory, R&D, Medical, and Other Contracts",20518552161.35
"Agriculture","Personnel Compensation and Benefits",19761256675.46
"National Defense","Travel and Transportation",18310130604.57
"Natural Resources and Environment","Grants, Subsidies, and Contributions",18082256054.68
"Veterans Benefits and Services","Grants, Subsidies, and Contributions",16867722233.59
"Regional Development, Commerce, and Housing","Advisory, R&D, Medical, and Other Contracts",14751627832.15
"Transportation","Other",13533745142.2
"National Defense","Rent, Communications, and Utilities",12837717200.48
"Transportation","Advisory, R&D, Medical, and Other Contracts",12635135633.11
"Veterans Benefits and Services","Printing and Supplies",12530194615.25
"Regional Development, Commerce, and Housing","Personnel Compensation and Benefits",11930787302.17
"Energy, Science, Space, and Technology","Grants, Subsidies, and Contributions",10992632892.16
"International Affairs","Personnel Compensation and Benefits",8626129608.21
"General Government","Rent, Communications, and Utilities",7799513130.32
"General Government","Grants, Subsidies, and Contributions",7670323556.59
"Income Security","Advisory, R&D, Medical, and Other Contracts",7250449403.33
"Social Security","Personnel Compensation and Benefits",6744773654.63
"Income Security","Printing and Supplies",6670045529.65
"International Affairs","Acquisition of Assets",6491578773.61
"Health","Printing and Supplies",6439056244.97
"Veterans Benefits and Services","Acquisition of Assets",5998624694.17
"Agriculture","Grants, Subsidies, and Contributions",5866892087.26
"General Government","Printing and Supplies",5202676176.04
"Energy, Science, Space, and Technology","Personnel Compensation and Benefits",5108583589.5
"Education, Training, Employment, and Social Services","Advisory, R&D, Medical, and Other Contracts",4971214439.13
"Administration of Justice","Grants, Subsidies, and Contributions",4752319870.69
"Social Security","Advisory, R&D, Medical, and Other Contracts",4678483726.53
"Natural Resources and Environment","Acquisition of Assets",4665962524
"Administration of Justice","Rent, Communications, and Utilities",4404137167.29
"General Government","Insurance Claims and Indemnities",3337845194.82
"Regional Development, Commerce, and Housing","Insurance Claims and Indemnities",3176579813.8
"Veterans Benefits and Services","Rent, Communications, and Utilities",3130814004.27
"National Defense","Grants, Subsidies, and Contributions",3109778761.16
"Income Security","Personnel Compensation and Benefits",2922250060.05
"Administration of Justice","Acquisition of Assets",2875563814.66
"General Government","Acquisition of Assets",2746909415.59
"Net Interest","Grants, Subsidies, and Contributions",2628312582.68
"Medicare","Advisory, R&D, Medical, and Other Contracts",2472825390.18
"International Affairs","Rent, Communications, and Utilities",2470728572.44
"Education, Training, Employment, and Social Services","Personnel Compensation and Benefits",2384504724.48
"Regional Development, Commerce, and Housing","Acquisition of Assets",2228180765.59
"Transportation","Acquisition of Assets",2094615367
"Administration of Justice","Printing and Supplies",1980629460.75
"Transportation","Printing and Supplies",1964907349.44
"Natural Resources and Environment","Rent, Communications, and Utilities",1822307882.11
"Energy, Science, Space, and Technology","Travel and Transportation",1787425620.88
"Administration of Justice","Refunds",1743014702.34
"Natural Resources and Environment","Printing and Supplies",1732192852.66
"General Government","Interest and Dividends",1674955096.86
"Transportation","Rent, Communications, and Utilities",1569298314.79
"National Defense","Insurance Claims and Indemnities",1557380798.09
"Energy, Science, Space, and Technology","Acquisition of Assets",1518464041.15
"International Affairs","Travel and Transportation",1431890150.53
"Veterans Benefits and Services","Travel and Transportation",1384136759.22
"Administration of Justice","Travel and Transportation",1261498878.85
"Administration of Justice","Insurance Claims and Indemnities",1223374486.29
"Social Security","Rent, Communications, and Utilities",1207523911.91
"Health","Rent, Communications, and Utilities",1197848594.52
"Natural Resources and Environment","Travel and Transportation",1196937550.9
"International Affairs","Printing and Supplies",1119394270.18
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",1033132741.38
"Transportation","Travel and Transportation",1026692499.88
"Regional Development, Commerce, and Housing","Printing and Supplies",994844814.57
"Agriculture","Printing and Supplies",974788119.07
"Agriculture","Acquisition of Assets",914646383.8
"Regional Development, Commerce, and Housing","Travel and Transportation",859652199.54
"Health","Acquisition of Assets",845351302
"Agriculture","Rent, Communications, and Utilities",792540593.16
"Social Security","Grants, Subsidies, and Contributions",773378125.08
"Agriculture","Travel and Transportation",609889484.22
"Health","Travel and Transportation",590265752.9
"Income Security","Interest and Dividends",550793707.73
"National Defense","Refunds",503631293.02
"Education, Training, Employment, and Social Services","Other",470635037.41
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",434157985.54
"Income Security","Refunds",411673589.85
"Administration of Justice","Other",400003361.87
"Social Security","Acquisition of Assets",378440252.33
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",300644147.94
"Income Security","Rent, Communications, and Utilities",229845483.3
"Energy, Science, Space, and Technology","Printing and Supplies",229304113.65
"Energy, Science, Space, and Technology","Interest and Dividends",209982200.5
"Income Security","Acquisition of Assets",195634660.77
"Education, Training, Employment, and Social Services","Acquisition of Assets",177602095.46
"Medicare","Personnel Compensation and Benefits",109278468.81
"Natural Resources and Environment","Insurance Claims and Indemnities",90314915.2
"Health","Refunds",88751359.44
"Income Security","Travel and Transportation",75852932.71
"Social Security","Printing and Supplies",70084308.63
"Education, Training, Employment, and Social Services","Travel and Transportation",50014977.96
"International Affairs","Refunds",46565635.63
"Transportation","Insurance Claims and Indemnities",43814282.64
"Education, Training, Employment, and Social Services","Insurance Claims and Indemnities",37278523
"Energy, Science, Space, and Technology","Refunds",33571793.03
"Social Security","Travel and Transportation",26662709.21
"Transportation","Refunds",24038304.05
"Education, Training, Employment, and Social Services","Printing and Supplies",18765989.65
"International Affairs","Insurance Claims and Indemnities",17977267.4
"National Defense","Interest and Dividends",12267489.79
